player_id,プレイヤー,リーグ,収支,bb_size,ハンド数,VPIP,VPIP_hands,PFR,PFR_hands,3bet,3bet_hands,Fold to 3bet,Fold to 3bet_hands,CB,CB_hands,WTSD,WTSD_hands,W$SD,W$SD_hands
5v7PwEvIAz,Kay,C,+210,20,70,31.43,70,20.0,70,11.76,34,100.0,2,80.0,5,9.09,11,100.0,1
UHNPbgw1ue,okbokujo,C,-2759,20,70,28.57,70,15.71,70,4.0,25,50.0,2,40.0,5,38.46,13,40.0,5
9W903vxPw_,そふとくりーむ,C,-1501,20,69,30.43,69,24.64,69,6.9,29,50.0,4,75.0,4,37.5,8,66.67,3
SsAkQq2Oa9,やましー,C,-668,20,69,28.99,69,15.94,69,3.57,28,100.0,2,50.0,4,25.0,12,0.0,3
Kyu60mEERY,Sabosuke,C,-540,20,68,19.12,68,13.24,68,8.33,24,100.0,1,50.0,2,20.0,5,100.0,1
ioqGYIb5SY,tomoyuki,C,+111,20,68,30.88,68,13.24,68,4.0,25,100.0,1,33.33,3,25.0,12,66.67,3
FxzN600G3r,はせがえる,C,-400,20,66,50.0,66,34.85,66,21.74,23,50.0,2,62.5,8,25.0,16,50.0,4
9o1jneL_Ei,Shingo2,C,-34,20,65,24.62,65,15.38,65,3.57,28,100.0,2,66.67,3,41.67,12,60.0,5
yOGROR9-hE,ワイエム,C,+424,20,64,32.81,64,10.94,64,4.17,24,50.0,2,0.0,5,31.58,19,83.33,6
WABAdHmLRW,たりくまる,C,-1660,20,63,49.21,63,25.4,63,4.55,22,0.0,2,55.56,9,39.13,23,33.33,9
6ybXdApWzf,icchi,C,-77,20,57,36.84,57,24.56,57,20.83,24,100.0,3,50.0,4,36.36,11,75.0,4
-WgKDrZMvL,mo',C,+1125,20,57,15.79,57,12.28,57,12.5,24,0.0,0,50.0,2,25.0,4,100.0,1
mXg0a8r7as,Fuku,C,-3882,20,54,31.48,54,20.37,54,16.0,25,50.0,2,100.0,4,30.0,10,33.33,3
NTr_pi-AHh,BJshin,C,-3808,20,53,64.15,53,41.51,53,25.0,16,50.0,2,75.0,4,28.57,14,25.0,4
gG60J3OV2j,Hibari,C,+60,20,51,37.25,51,19.61,51,19.05,21,0.0,1,25.0,4,14.29,7,0.0,1
uNHIhLxU5W,ゆっきーな,C,+5867,20,49,34.69,49,22.45,49,11.76,17,0.0,0,0.0,4,33.33,9,100.0,3
stzdogxFRA,ミナっち,C,-328,20,48,35.42,48,22.92,48,16.67,18,0.0,1,100.0,3,40.0,10,25.0,4
bdhmMIP7G-,ごろうさん,C,+2210,20,43,51.16,43,41.86,43,40.0,20,100.0,1,85.71,7,42.86,14,50.0,6
n0s1KAOIRL,ころり,C,+1354,20,42,52.38,42,30.95,42,21.05,19,33.33,3,66.67,6,43.75,16,57.14,7
_1mfZ1y-M8,あーる,C,-28,20,42,45.24,42,28.57,42,6.67,15,0.0,2,66.67,3,11.11,9,0.0,1
_EAr7O2lyX,たろす,C,+163,20,41,19.51,41,14.63,41,5.56,18,0.0,1,33.33,3,33.33,6,100.0,2
2GlUDrVHSg,k.k,C,-457,20,40,55.0,40,30.0,40,13.33,15,66.67,3,50.0,4,50.0,12,16.67,6
7M6m0QCn4d,zawazawa,C,+87,20,38,23.68,38,21.05,38,12.5,24,0.0,0,60.0,5,42.86,7,100.0,3
5bOqayAYt3,dny,C,-60,20,27,22.22,27,18.52,27,0.0,7,100.0,1,0.0,0,0.0,2,0.0,0
A-C0iUFfvO,塾長(びっとぶりっと),C,-1480,20,27,29.63,27,18.52,27,0.0,9,100.0,1,66.67,3,16.67,6,100.0,1
WtIP2AbI23,ノガード,C,+1245,20,24,33.33,24,29.17,24,15.38,13,50.0,2,50.0,2,0.0,4,0.0,0
5E5VYl6oOU,ねくと,C,-781,20,21,38.1,21,23.81,21,12.5,8,100.0,1,33.33,3,40.0,5,0.0,2
JL0yn4eBi6,ヤステ,C,-630,20,19,15.79,19,10.53,19,0.0,9,100.0,1,0.0,0,50.0,2,0.0,1
jfd6Uaakn8,ジョニー,C,+40,20,12,33.33,12,16.67,12,0.0,5,0.0,0,0.0,0,0.0,0,0.0,0
lYH850EfPw,no,C,-1015,20,10,40.0,10,20.0,10,0.0,5,0.0,0,100.0,1,33.33,3,0.0,1
lRMrY2rxFn,MSK,C,0,20,2,0.0,2,0.0,2,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
5ogXjv4ef9,ラスカル,C,-20,20,1,0.0,1,0.0,1,0.0,1,0.0,0,0.0,0,0.0,0,0.0,0
sDxsghMy-B,kyntma,C,0,20,1,0.0,1,0.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
